#{"t_start": 1787233795.4839556, "env_id": "None"}
r,l,t
882.21049,1000,82.278803
887.610609,1000,163.841574
884.486754,1000,245.275402
893.179022,1000,326.256209
892.421652,1000,409.820514
897.327928,1000,490.849614
908.62032,1000,572.56194
903.132681,1000,654.486127
913.401239,1000,737.685215
907.067308,1000,818.90972
904.760459,1000,900.748209
906.607781,1000,982.855994
908.300854,1000,1064.996901
906.991352,1000,1147.481104
911.612802,1000,1231.133491
908.61401,1000,1312.791503
910.880985,1000,1396.06289
914.772347,1000,1480.236046
913.01207,1000,1563.653995
916.199452,1000,1645.58265
926.302985,1000,1726.418246
918.745693,1000,1809.072348
927.934707,1000,1892.111649
925.551553,1000,1973.603335
922.849221,1000,2056.773773
919.765404,1000,2138.54356
931.381021,1000,2222.30389
931.839867,1000,2304.542541
926.781936,1000,2388.512298
924.805186,1000,2469.15724
929.741418,1000,2552.914425
929.147333,1000,2634.844381
930.57669,1000,2717.212714
928.832107,1000,2799.88183
927.530127,1000,2881.826937
932.66574,1000,2963.89859
933.572513,1000,3047.09649
922.853635,1000,3128.450759
932.874028,1000,3211.993281
931.020479,1000,3292.00355
933.32105,1000,3375.946196
928.324698,1000,3456.866401
933.620551,1000,3538.723443
928.490408,1000,3622.302325
930.930748,1000,3704.005912
930.106533,1000,3786.993256
937.096798,1000,3868.573422
933.361311,1000,3951.289957
936.29897,1000,4032.615503
938.74863,1000,4116.439664
933.421743,1000,4199.637845
