#{"t_start": 1787127887.166256, "env_id": "None"}
r,l,t
130.042323,1000,8.471905
127.061945,1000,17.149618
115.193832,1000,27.177396
122.484782,1000,36.555858
134.293062,1000,48.347111
114.384603,1000,57.150989
125.821541,1000,68.695738
124.143209,1000,76.875357
140.951066,1000,87.547589
118.295464,1000,96.678549
140.220254,1000,108.310721
140.621838,1000,117.350069
138.959064,1000,128.427556
135.619648,1000,136.761512
133.37541,1000,148.309923
132.468668,1000,157.67128
134.045077,1000,168.597922
140.879034,1000,177.435151
129.743282,1000,190.039858
144.238847,1000,198.698783
139.773569,1000,211.232992
129.746765,1000,221.195095
138.707067,1000,232.301951
146.805217,1000,244.334474
135.965748,1000,254.364383
145.381565,1000,263.51616
142.807299,1000,275.920794
135.602882,1000,284.549406
139.997007,1000,296.30245
128.776881,1000,304.324106
142.064082,1000,314.901443
131.679552,1000,323.294373
149.020727,1000,334.891365
152.178631,1000,342.427047
144.718344,1000,353.023201
142.167239,1000,361.036674
135.805182,1000,373.032269
150.49032,1000,382.859826
144.025389,1000,394.839906
137.393649,1000,404.768856
149.323769,1000,415.50581
141.593423,1000,423.791317
141.286202,1000,433.133228
148.998638,1000,443.891183
137.099016,1000,452.944939
146.011029,1000,463.658084
140.04142,1000,472.366922
147.300372,1000,482.957792
146.870499,1000,492.159259
144.120064,1000,503.257309
157.401003,1000,512.565031
