#{"t_start": 1787238029.608201, "env_id": "None"}
r,l,t
928.439003,1000,80.500398
931.642258,1000,162.806884
928.1367,1000,246.7219
933.008531,1000,328.327725
930.199182,1000,411.868921
934.233651,1000,494.740154
937.334568,1000,579.930101
933.621736,1000,661.935678
938.198458,1000,746.001323
934.79278,1000,828.042382
931.299861,1000,910.982429
933.577208,1000,993.694485
936.569967,1000,1075.600369
936.101812,1000,1156.944988
939.414133,1000,1240.182695
939.321463,1000,1321.383272
939.712319,1000,1404.726308
940.730624,1000,1486.497396
937.583669,1000,1568.913596
938.998245,1000,1650.960253
944.164094,1000,1733.908215
938.914643,1000,1814.311595
944.880492,1000,1898.254739
943.125898,1000,1982.186473
942.158028,1000,2066.245204
942.466663,1000,2149.472589
946.836796,1000,2234.275549
946.969526,1000,2317.142272
943.221852,1000,2400.678582
942.922456,1000,2483.011223
944.33666,1000,2566.664994
942.814554,1000,2648.525048
943.191576,1000,2731.484305
940.434032,1000,2813.425578
940.188869,1000,2896.119596
942.981423,1000,2978.391896
941.117061,1000,3060.760814
935.493595,1000,3142.188244
941.743165,1000,3226.221227
939.588134,1000,3307.334561
939.755423,1000,3391.282209
938.637438,1000,3475.819917
942.639634,1000,3559.525983
937.355416,1000,3643.161645
941.71632,1000,3725.646458
938.264685,1000,3810.299642
941.631219,1000,3893.372015
940.86343,1000,3976.712803
944.692349,1000,4057.554941
946.166657,1000,4138.572107
942.070441,1000,4221.295732
