#{"t_start": 1787129265.7690952, "env_id": "None"}
r,l,t
195.503738,1000,9.85675
204.72863,1000,21.286973
194.173434,1000,32.985855
202.284236,1000,41.805015
210.757365,1000,55.904159
194.990616,1000,65.393871
200.881626,1000,82.350083
202.7978,1000,91.116735
216.715925,1000,101.444587
190.428044,1000,110.633183
212.033468,1000,119.830535
212.658237,1000,127.299891
207.496469,1000,135.277527
207.346182,1000,142.863185
200.693027,1000,150.619286
199.636094,1000,158.462455
199.203664,1000,167.170687
210.648146,1000,174.842116
195.649287,1000,183.54238
216.409071,1000,190.341918
205.94466,1000,201.425916
204.827245,1000,209.92287
214.209107,1000,217.697577
213.973907,1000,224.439806
210.840761,1000,232.17067
225.042326,1000,239.04775
225.782438,1000,247.860713
217.667687,1000,255.1813
210.502295,1000,265.20636
211.421423,1000,272.093152
216.345075,1000,281.904387
207.397646,1000,289.322437
210.739177,1000,297.403289
222.012036,1000,304.277327
219.480581,1000,312.946549
222.458644,1000,321.268845
213.318266,1000,329.712007
222.795785,1000,336.015467
222.884097,1000,344.45624
222.111168,1000,351.914669
226.996699,1000,360.275341
226.138512,1000,367.453972
228.258314,1000,374.901556
232.825353,1000,384.633254
228.248245,1000,391.463544
236.194465,1000,400.172124
216.208113,1000,408.801773
217.020224,1000,416.530463
213.695308,1000,423.458322
212.40488,1000,433.216755
228.658364,1000,440.721186
