#{"t_start": 1787215781.9380188, "env_id": "None"}
r,l,t
-131.803337,1000,9.291701
-183.604796,1000,16.90691
-142.891989,1000,25.065702
-143.31912,1000,31.736063
-71.410197,1000,40.663779
-109.178022,1000,47.472607
-28.481854,1000,56.558776
-36.848565,1000,63.925354
12.185498,1000,73.268339
21.613194,1000,80.310154
33.681066,1000,88.717553
62.64563,1000,95.370085
63.482904,1000,104.456406
68.423851,1000,111.469512
77.455967,1000,119.720672
69.319146,1000,126.558085
88.192525,1000,134.720289
101.988903,1000,141.978225
95.409922,1000,149.887315
110.918625,1000,156.780418
109.110522,1000,165.833186
105.002722,1000,172.983881
98.815953,1000,181.984127
124.179892,1000,188.846662
114.178974,1000,197.562231
122.179525,1000,204.889778
121.87072,1000,214.33661
116.066836,1000,221.612957
118.238469,1000,230.206059
116.785436,1000,237.778091
120.54189,1000,246.870395
121.535338,1000,253.891823
135.569301,1000,262.497362
127.592742,1000,269.401611
128.517598,1000,277.751551
133.637586,1000,285.536897
133.623317,1000,293.939496
131.019683,1000,300.973763
128.908489,1000,310.873458
130.920225,1000,318.781599
134.971266,1000,327.56738
133.962015,1000,335.325659
133.533325,1000,342.80091
139.144253,1000,351.509408
132.86763,1000,358.531643
137.472916,1000,366.499925
142.625239,1000,373.393682
142.931073,1000,382.898175
140.867199,1000,389.75225
140.035207,1000,397.918046
139.466199,1000,405.077562
