#{"t_start": 1787225191.0150902, "env_id": "None"}
r,l,t
-471.132524,1000,83.686641
-441.898042,1000,166.327218
-384.794149,1000,249.103126
-344.062988,1000,331.504144
-295.476706,1000,414.405359
-269.092144,1000,497.808767
-202.930783,1000,581.657524
-216.662235,1000,664.660212
-149.112001,1000,751.577744
-150.864377,1000,834.60785
-135.614038,1000,917.870227
-101.737956,1000,999.592106
-99.266162,1000,1081.698193
-79.717644,1000,1163.093275
-65.107497,1000,1246.075031
-66.697905,1000,1329.044197
-49.050172,1000,1412.660943
-45.107829,1000,1495.194427
-48.347068,1000,1576.159544
-44.538903,1000,1658.11991
-28.650214,1000,1740.99789
-35.020865,1000,1824.529156
-20.827296,1000,1909.919722
-16.597035,1000,1991.599618
-16.702874,1000,2073.785913
-14.032479,1000,2153.508804
-16.458602,1000,2236.888428
-9.908908,1000,2320.089619
-12.255381,1000,2409.531346
-6.601095,1000,2494.912115
-9.399549,1000,2582.696112
-7.138853,1000,2671.477362
-3.871061,1000,2762.618058
-2.809216,1000,2851.341449
-4.397558,1000,2938.654105
-4.475875,1000,3021.430107
-2.671152,1000,3105.453382
-2.37809,1000,3187.531279
-2.469091,1000,3272.027659
-3.356152,1000,3356.079635
-0.712557,1000,3440.936944
-1.305158,1000,3526.895174
-3.118826,1000,3612.51967
-0.552052,1000,3697.64853
-1.765923,1000,3781.255538
-1.369785,1000,3867.102831
-0.518638,1000,3950.656327
-3.100004,1000,4034.901703
-1.827002,1000,4118.118264
-0.406436,1000,4201.861562
-0.454125,1000,4284.164229
