#{"t_start": 1787211751.5681736, "env_id": "None"}
r,l,t
162.773031,1000,7.772457
165.895288,1000,15.352081
152.019311,1000,24.544795
160.268133,1000,31.348749
167.22033,1000,40.170263
147.658152,1000,48.867574
156.689974,1000,57.72647
156.439307,1000,65.201927
171.684533,1000,74.951219
144.267895,1000,82.262796
166.209649,1000,91.594057
169.745628,1000,98.107585
163.917809,1000,106.631446
167.27073,1000,114.722105
161.556592,1000,123.912692
159.736959,1000,131.951452
156.177111,1000,140.84902
162.205842,1000,147.889539
148.499262,1000,156.630106
169.809615,1000,164.914247
161.046589,1000,174.164713
154.708698,1000,181.362907
163.727913,1000,189.75261
166.620553,1000,196.992538
165.101518,1000,205.824917
167.30294,1000,213.181186
174.910057,1000,222.460778
164.813094,1000,230.900888
159.306777,1000,239.607816
155.23978,1000,247.530026
166.462253,1000,256.546292
150.266495,1000,264.0754
162.440193,1000,272.926792
174.206351,1000,279.77375
167.351652,1000,288.558151
166.496851,1000,297.074365
164.632217,1000,305.491006
174.833364,1000,312.620915
171.556017,1000,321.20475
162.500284,1000,329.033085
172.715172,1000,338.441529
170.920912,1000,345.812138
169.906865,1000,359.014007
177.784472,1000,370.192587
168.059757,1000,378.054149
173.646337,1000,388.012458
161.725633,1000,395.456517
169.293178,1000,404.853877
169.344201,1000,412.19182
162.877861,1000,420.795975
177.640377,1000,427.762808
