#{"t_start": 1787246523.1813033, "env_id": "None"}
r,l,t
970.937065,1000,82.297647
971.244079,1000,164.344528
970.653001,1000,247.744446
971.160622,1000,330.322286
969.615356,1000,413.272455
971.178652,1000,495.998011
970.300817,1000,579.806785
971.127949,1000,663.4914
971.345862,1000,748.84383
968.630445,1000,831.106477
969.121841,1000,916.008635
971.298024,1000,999.675431
974.211286,1000,1084.529891
970.335608,1000,1167.609026
969.954509,1000,1252.035051
972.146089,1000,1336.745849
971.301817,1000,1420.88652
970.941628,1000,1505.780539
969.940609,1000,1590.958419
970.495779,1000,1674.220541
970.92538,1000,1758.971735
971.858438,1000,1840.49999
971.830579,1000,1924.412653
970.638389,1000,2006.270344
972.285839,1000,2090.306481
971.982772,1000,2174.235382
973.395635,1000,2257.944639
971.672069,1000,2340.556147
970.510166,1000,2423.345981
971.207726,1000,2505.424664
971.613091,1000,2587.331006
972.094742,1000,2669.853794
971.2648,1000,2752.910426
971.532079,1000,2836.315778
971.907726,1000,2920.299396
973.344797,1000,3001.778972
972.902663,1000,3085.090831
970.657943,1000,3167.382914
972.447114,1000,3252.468609
970.156782,1000,3337.460931
971.572362,1000,3421.866409
971.837076,1000,3505.056384
971.526445,1000,3590.664933
970.215639,1000,3674.23096
971.547849,1000,3758.257956
970.536287,1000,3844.797148
970.704875,1000,3927.274282
970.763259,1000,4011.151597
973.495376,1000,4093.919331
970.868294,1000,4177.153208
971.465826,1000,4259.787539
