#{"t_start": 1787218642.3627107, "env_id": "None"}
r,l,t
-654.614151,1000,9.227474
-776.666853,1000,16.597182
-630.84202,1000,25.88764
-646.629962,1000,33.995996
-494.319427,1000,42.462534
-533.56817,1000,49.971201
-348.931202,1000,58.700325
-356.463007,1000,65.789314
-296.379825,1000,74.558757
-242.026982,1000,81.537368
-217.885515,1000,89.639861
-169.859622,1000,97.412952
-134.863006,1000,106.273511
-126.408843,1000,113.565454
-106.86934,1000,121.88251
-124.138494,1000,129.556649
-88.49824,1000,138.169168
-75.420825,1000,144.985053
-80.494399,1000,152.995817
-43.29258,1000,160.534174
-42.053587,1000,169.195455
-31.216403,1000,176.921263
-37.571269,1000,185.321734
-14.874061,1000,193.961262
-17.080806,1000,202.912925
-8.680281,1000,210.813623
