#{"t_start": 1787242284.9410584, "env_id": "None"}
r,l,t
953.233255,1000,82.191768
953.210948,1000,164.585495
950.260825,1000,247.630595
952.343879,1000,329.186017
950.587078,1000,413.180595
951.91623,1000,493.967179
953.304802,1000,576.920269
951.45368,1000,659.324593
953.410055,1000,741.474982
951.003478,1000,823.236683
949.239927,1000,906.577795
951.343201,1000,987.957758
953.903309,1000,1069.445786
952.561171,1000,1150.319629
955.249318,1000,1233.780903
957.215314,1000,1316.715498
958.077136,1000,1397.856879
958.402999,1000,1479.930754
957.322468,1000,1563.171278
958.394762,1000,1644.798269
960.620109,1000,1728.001545
959.263826,1000,1810.492775
961.561143,1000,1893.266459
960.00191,1000,1974.18756
959.626728,1000,2056.958495
958.473767,1000,2139.695212
962.413327,1000,2222.275286
961.636603,1000,2303.123076
959.931867,1000,2385.500049
958.574295,1000,2466.540664
959.566937,1000,2550.016321
960.968194,1000,2631.717754
960.455711,1000,2713.589997
959.534679,1000,2794.129961
960.110399,1000,2875.959081
960.743449,1000,2958.787512
961.369423,1000,3042.27548
957.593438,1000,3125.347458
960.218878,1000,3210.055269
959.340992,1000,3293.720266
958.577812,1000,3378.88838
959.450799,1000,3462.86842
960.337645,1000,3544.346243
957.980927,1000,3628.512984
959.780579,1000,3709.73789
959.138166,1000,3792.610343
960.948874,1000,3874.374257
960.064505,1000,3957.587815
963.629248,1000,4039.843508
961.125799,1000,4122.699708
960.132867,1000,4204.395524
