#{"t_start": 1787212182.745842, "env_id": "None"}
r,l,t
188.957597,1000,7.674791
196.961962,1000,15.097686
184.923525,1000,23.945987
193.0619,1000,31.577873
201.29616,1000,41.897233
184.596752,1000,49.474855
191.567932,1000,58.655341
193.021225,1000,66.264348
206.785395,1000,74.934721
180.604283,1000,83.349426
201.61032,1000,91.919497
203.541483,1000,99.356972
199.210132,1000,108.915857
198.704984,1000,116.072016
191.652305,1000,124.394912
190.557233,1000,131.414792
190.892665,1000,140.042761
200.809759,1000,147.480945
185.183699,1000,155.900001
205.994124,1000,163.014555
196.606424,1000,171.597732
195.388064,1000,179.279006
202.328742,1000,188.32422
202.971231,1000,195.607243
199.14539,1000,206.734356
211.175685,1000,214.919768
213.353908,1000,223.217869
205.251939,1000,231.039454
197.637029,1000,240.547718
199.304811,1000,247.884321
204.247734,1000,256.739325
194.092383,1000,263.88936
196.511997,1000,272.54086
207.884754,1000,281.620538
207.747128,1000,290.151347
208.41974,1000,297.105411
200.798966,1000,305.354775
210.729229,1000,312.221826
211.790508,1000,321.908162
211.232012,1000,333.331514
214.505887,1000,342.505303
213.460918,1000,349.826269
215.374054,1000,357.098551
220.006978,1000,365.746859
213.860157,1000,373.214698
222.431164,1000,381.828259
202.517957,1000,389.192868
205.482208,1000,398.184175
202.202666,1000,405.22394
200.355608,1000,413.711576
216.963035,1000,421.619272
