#{"t_start": 1787128403.4265366, "env_id": "None"}
r,l,t
162.773031,1000,9.817859
165.895288,1000,17.437562
152.019311,1000,30.969928
160.268133,1000,39.393771
167.22033,1000,49.794708
147.658152,1000,58.95835
156.689974,1000,70.493178
156.439307,1000,81.369281
171.684533,1000,92.762962
144.267895,1000,101.254446
166.209649,1000,111.5992
169.745628,1000,119.779163
163.917809,1000,129.711426
167.27073,1000,137.865442
161.556592,1000,148.719637
159.736959,1000,157.195926
156.177111,1000,168.117497
162.205842,1000,176.177521
148.499262,1000,188.156796
169.809615,1000,197.288217
161.046589,1000,207.827937
154.708698,1000,217.763705
163.727913,1000,230.837437
166.620553,1000,239.427919
165.101518,1000,250.1313
167.30294,1000,257.478359
174.910057,1000,267.511744
164.813094,1000,276.252373
159.306777,1000,287.027125
155.23978,1000,295.543856
166.462253,1000,306.826508
150.266495,1000,315.785473
162.440193,1000,326.618385
174.206351,1000,336.619603
167.351652,1000,347.376845
166.496851,1000,356.376069
164.632217,1000,367.632327
174.833364,1000,376.28046
171.556017,1000,388.400644
162.500284,1000,398.564978
172.715172,1000,410.642413
170.920912,1000,421.603677
169.906865,1000,430.48855
177.784472,1000,440.864496
168.059757,1000,450.254978
173.646337,1000,460.695069
161.725633,1000,469.252558
169.293178,1000,481.148911
169.344201,1000,491.091831
162.877861,1000,502.300148
177.640377,1000,510.967558
