#{"t_start": 1787212607.1718876, "env_id": "None"}
r,l,t
195.503738,1000,9.786588
204.72863,1000,17.371455
194.173434,1000,25.504767
202.284236,1000,33.094061
210.757365,1000,42.489321
194.990616,1000,50.412821
200.881626,1000,59.636493
202.7978,1000,66.803451
216.715925,1000,74.81794
190.428044,1000,82.365886
212.033468,1000,90.899605
212.658237,1000,97.917392
207.496469,1000,106.519711
207.346182,1000,113.284825
200.693027,1000,122.264232
199.636094,1000,129.52442
199.203664,1000,138.798757
210.648146,1000,146.48942
195.649287,1000,156.139843
216.409071,1000,167.208438
205.94466,1000,177.408897
204.827245,1000,186.592139
214.209107,1000,197.623061
213.973907,1000,205.634068
210.840761,1000,214.325163
225.042326,1000,221.890364
225.782438,1000,231.337212
217.667687,1000,238.752323
210.502295,1000,247.887796
211.421423,1000,256.703111
216.345075,1000,265.768671
207.397646,1000,274.014942
210.739177,1000,282.933769
222.012036,1000,290.1411
219.480581,1000,299.470366
222.458644,1000,307.945396
213.318266,1000,317.527277
222.795785,1000,327.374101
222.884097,1000,336.407516
222.111168,1000,344.651609
226.996699,1000,354.060175
226.138512,1000,361.697418
228.258314,1000,369.883884
232.825353,1000,378.573161
228.248245,1000,386.154525
236.194465,1000,394.131571
216.208113,1000,401.335551
217.020224,1000,409.909709
213.695308,1000,417.335839
212.40488,1000,425.869181
228.658364,1000,433.625546
