#{"t_start": 1787216189.8444195, "env_id": "None"}
r,l,t
64.580908,1000,8.191848
49.39526,1000,15.863442
49.259587,1000,25.002159
53.703825,1000,32.139222
81.41003,1000,41.130703
56.075292,1000,48.8895
81.402426,1000,57.746139
75.072772,1000,64.881783
99.800767,1000,74.019939
90.350718,1000,81.590602
104.020521,1000,90.060766
114.756874,1000,96.854895
110.841191,1000,106.183001
110.930451,1000,113.210721
110.275418,1000,120.510355
107.861211,1000,129.117493
115.842474,1000,138.549666
126.243871,1000,145.533911
115.832095,1000,154.430145
128.450672,1000,161.396457
124.536041,1000,170.047762
116.34625,1000,177.143909
121.022563,1000,185.765881
135.678386,1000,192.97804
120.731556,1000,201.230794
133.989475,1000,207.217974
129.81173,1000,213.394258
122.505601,1000,218.692066
124.530251,1000,224.889155
120.713257,1000,230.303225
126.436226,1000,236.421978
122.751572,1000,241.970006
142.078095,1000,248.251589
134.680221,1000,253.782648
135.557664,1000,260.147024
135.567888,1000,266.006281
128.487218,1000,272.107461
137.341523,1000,277.396438
134.426768,1000,283.694852
130.384166,1000,288.930105
142.165583,1000,295.253496
133.728346,1000,300.672355
133.298199,1000,306.000083
137.109655,1000,312.838412
134.201598,1000,318.221898
138.483766,1000,324.627427
139.073327,1000,330.274674
144.819142,1000,336.585725
141.42288,1000,341.92235
139.451982,1000,348.329235
144.882781,1000,353.83318
