#{"t_start": 1787126295.084423, "env_id": "None"}
r,l,t
-654.614151,1000,13.726625
-776.666853,1000,23.318785
-630.84202,1000,32.697166
-646.629962,1000,42.051684
-494.319427,1000,51.441297
-533.56817,1000,60.585214
-348.931202,1000,70.565715
-356.463007,1000,78.926531
-296.379825,1000,89.223881
-242.026982,1000,101.52334
-217.885515,1000,113.967441
-169.859622,1000,123.227172
-134.863006,1000,133.758042
-126.408843,1000,142.003165
-106.86934,1000,151.796985
-124.138494,1000,161.056088
-88.49824,1000,173.697366
-75.420825,1000,182.150166
-80.494399,1000,192.397481
-43.29258,1000,200.326506
-42.053587,1000,211.341044
-31.216403,1000,221.946386
-37.571269,1000,233.636375
-14.874061,1000,242.398553
-17.080806,1000,251.877609
-8.680281,1000,260.905831
-8.510496,1000,270.408975
-10.356772,1000,279.275127
-11.140645,1000,289.941391
-9.156067,1000,297.886985
-11.401755,1000,307.703583
-10.44329,1000,316.21565
-2.7803,1000,328.016621
-1.512885,1000,337.720116
-7.536462,1000,348.615888
-0.435684,1000,357.762895
-1.936786,1000,368.141299
-3.354025,1000,377.092077
-3.757057,1000,388.425058
-1.729369,1000,399.684165
-2.7128,1000,411.645748
-0.553354,1000,422.145873
-1.986142,1000,432.804658
-0.293398,1000,442.994539
-5.70462,1000,456.752386
-1.462489,1000,471.558585
0.0,1000,483.696619
-0.948836,1000,493.638157
-0.653862,1000,502.514735
-0.100696,1000,512.756445
-3.243354,1000,521.189265
