#{"t_start": 1787126821.8787453, "env_id": "None"}
r,l,t
-131.803337,1000,8.65854
-183.604796,1000,18.989004
-142.891989,1000,33.82633
-143.31912,1000,43.084492
-71.410197,1000,63.196166
-109.178022,1000,72.330164
-28.481854,1000,84.127476
-36.848565,1000,92.952452
12.185498,1000,103.894144
21.613194,1000,112.194092
33.681066,1000,121.527439
62.64563,1000,130.102132
63.482904,1000,142.365598
68.423851,1000,154.61896
77.455967,1000,171.248409
69.319146,1000,182.439878
88.192525,1000,196.717396
101.988903,1000,210.132868
95.409922,1000,224.258414
110.918625,1000,235.521807
109.110522,1000,253.199955
105.002722,1000,263.916632
98.815953,1000,274.118059
124.179892,1000,282.711647
114.178974,1000,293.632349
122.179525,1000,302.81798
121.87072,1000,313.699709
116.066836,1000,322.500597
118.238469,1000,333.00816
116.785436,1000,342.568513
120.54189,1000,354.561175
121.535338,1000,363.746129
135.569301,1000,373.972392
127.592742,1000,382.357905
128.517598,1000,393.825646
133.637586,1000,404.593694
133.623317,1000,417.206856
131.019683,1000,430.443395
128.908489,1000,440.444772
130.920225,1000,447.84969
134.971266,1000,458.605997
133.962015,1000,466.64857
133.533325,1000,477.389567
139.144253,1000,489.510146
132.86763,1000,499.381305
137.472916,1000,511.235388
142.625239,1000,523.817041
142.931073,1000,540.481408
140.867199,1000,549.9795
140.035207,1000,564.093222
139.466199,1000,574.310038
