#{"t_start": 1787229510.3126006, "env_id": "None"}
r,l,t
739.236381,1000,81.537907
754.176674,1000,163.121519
759.630307,1000,256.03948
779.469935,1000,337.669183
785.634842,1000,419.159075
799.563489,1000,501.076721
829.268825,1000,583.105939
818.863019,1000,669.868777
851.093117,1000,753.617818
840.174241,1000,838.298734
840.800971,1000,924.56764
854.755289,1000,1008.989318
866.586844,1000,1095.814589
869.63877,1000,1179.806894
888.265174,1000,1263.405476
884.272484,1000,1347.40916
894.534276,1000,1431.530096
900.968663,1000,1513.962109
897.924497,1000,1599.205227
901.681683,1000,1681.116065
915.362967,1000,1765.580101
905.741743,1000,1847.610326
921.163337,1000,1932.078065
922.728115,1000,2016.337198
916.569287,1000,2101.832722
915.772179,1000,2184.177933
928.745153,1000,2267.037599
932.142949,1000,2349.962232
918.948771,1000,2433.17144
925.959534,1000,2516.555737
929.794167,1000,2599.576343
929.678403,1000,2682.595253
932.964683,1000,2765.812418
935.891264,1000,2847.26826
926.083072,1000,2931.596999
927.736763,1000,3013.556569
929.794581,1000,3097.192861
918.652254,1000,3179.17061
925.432072,1000,3263.043993
928.657559,1000,3344.894499
930.204093,1000,3428.460661
932.657831,1000,3509.881942
931.209815,1000,3593.300119
932.734987,1000,3676.178495
932.481907,1000,3758.447321
926.143909,1000,3841.82561
936.699476,1000,3922.179604
935.213988,1000,4005.126881
938.746214,1000,4087.04948
945.167878,1000,4170.197918
937.63186,1000,4251.203275
