#{"t_start": 1787127400.4046817, "env_id": "None"}
r,l,t
64.580908,1000,9.908674
49.39526,1000,18.866931
49.259587,1000,26.933948
53.703825,1000,33.508658
81.41003,1000,42.276915
56.075292,1000,51.278256
81.402426,1000,59.928365
75.072772,1000,66.658643
99.800767,1000,77.334763
90.350718,1000,87.197865
104.020521,1000,97.340952
114.756874,1000,108.062217
110.841191,1000,118.94567
110.930451,1000,127.833004
110.275418,1000,138.802691
107.861211,1000,147.874759
115.842474,1000,158.719017
126.243871,1000,169.541884
115.832095,1000,178.187132
128.450672,1000,185.990359
124.536041,1000,194.085792
116.34625,1000,201.595356
121.022563,1000,210.402179
135.678386,1000,218.774502
120.731556,1000,228.445975
133.989475,1000,235.968405
129.81173,1000,244.395011
122.505601,1000,251.711272
124.530251,1000,260.931039
120.713257,1000,268.429542
126.436226,1000,276.035766
122.751572,1000,282.914584
142.078095,1000,299.643559
134.680221,1000,307.68847
135.557664,1000,319.022275
135.567888,1000,327.633286
128.487218,1000,339.632897
137.341523,1000,349.373932
134.426768,1000,359.548342
130.384166,1000,369.109474
142.165583,1000,380.747358
133.728346,1000,390.063297
133.298199,1000,399.938559
137.109655,1000,410.780278
134.201598,1000,420.68701
138.483766,1000,432.510477
139.073327,1000,441.416474
144.819142,1000,452.311944
141.42288,1000,460.852793
139.451982,1000,472.730339
144.882781,1000,482.470401
